TICKER,Nome da Empresa,Data da Análise,Preço de Fechamento,data,ano,PL,QNT,EBIT,AT,VM
UGPA3,ULTRAPAR,29/12/2021,14.4,2021-12-29,2021,121.74968,11.151730800000001,33.36752,364.41003,160.58492352000002
VALE3,VALE,29/12/2021,77.25,2021-12-29,2021,1948.94,47.78889,887.1,4533.87,3691.6917525000003
VBBR3,VIBRA,29/12/2021,21.1,2021-12-29,2021,126.13,11.65,39.65,411.1,245.81500000000003
VIIA3,VIA,29/12/2021,5.02,2021-12-29,2021,52.84,15.98431,11.21,355.74,80.2412362
VIVT3,TELEF BRASIL,29/12/2021,48.27,2021-12-29,2021,684.55847,16.769382710000002,66.21653,1191.21483,809.4581034117001
WEGE3,WEG,29/12/2021,32.74,2021-12-29,2021,152.48355,41.97317998,50.51587,281.3466,1374.2019125452
YDUQ3,YDUQS PART,29/12/2021,20.32,2021-12-29,2021,29.60059,3.09089,6.17413,90.49207,62.8068848
ABEV3,AMBEV S/A,29/12/2020,15.95,2020-12-29,2020,833.27827,157.50217,176.87946,1379.58083,2512.1596115
AZUL4,AZUL,29/12/2020,37.67,2020-12-29,2020,-190.075,12.64588466,14.29555,187.21293,476.3704751422
B3SA3,B3,29/12/2020,61.82,2020-12-29,2020,202.83143,60.99,55.72314,475.94773,3770.4018
BBAS3,BRASIL,29/12/2020,39.12,2020-12-29,2020,1630.77123,28.6541702,331.90566,20077.27977,1120.9511382239998
BBDC3,BRADESCO,29/12/2020,24.68,2020-12-29,2020,1587.41264,106.58488,228.54023,17996.15675,2630.5148384
BBDC4,BRADESCO,29/12/2020,27.53,2020-12-29,2020,1587.41264,106.58488,228.54023,17996.15675,2934.2817464
BBSE3,BBSEGURIDADE,29/12/2020,30.06,2020-12-29,2020,75.96101,20.0,36.81904,161.29832,601.1999999999999
BEEF3,MINERVA,29/12/2020,10.36,2020-12-29,2020,10.62495,6.07283407,24.23235,214.00128,62.914560965199996
BPAC11,BTGP BANCO,29/12/2020,95.47,2020-12-29,2020,423.71767,115.06119928,62.46618,3695.8819,10984.8926952616
BRAP4,BRADESPAR,29/12/2020,64.06,2020-12-29,2020,74.77001,3.93097,-0.51947,80.62022,251.8179382
BRDT3,VIBRA,29/12/2020,22.11,2020-12-29,2020,126.13,11.65,39.65,411.1,257.5815
BRFS3,BRF SA,29/12/2020,22.5,2020-12-29,2020,118.22869,10.824732460000002,-1.37365,578.54447,243.55648035000004
BRML3,BR MALLS PAR,29/12/2020,10.06,2020-12-29,2020,112.65549,8.28274,8.75741,181.42137,83.32436440000001
BTOW3,AMERICANAS,29/12/2020,75.7,2020-12-29,2020,147.05555,9.09774507,11.65519,470.84128,688.6993017990001
CCRO3,CCR SA,29/12/2020,13.77,2020-12-29,2020,118.2275,20.2,98.58064,505.473,278.154
CIEL3,CIELO,29/12/2020,3.83,2020-12-29,2020,138.16772,27.168150609999998,26.84986,1097.84818,104.0540168363
CMIG4,CEMIG,29/12/2020,14.47,2020-12-29,2020,217.83266,22.01371,48.44634,536.70837,318.5383837
COGN3,COGNA ON,29/12/2020,4.69,2020-12-29,2020,132.41388,18.766062100000003,3.05191,263.96751,88.01283124900002
CPFE3,CPFL ENERGIA,29/12/2020,32.33,2020-12-29,2020,175.39944,11.522544400000001,97.40386,711.46081,372.523860452
CRFB3,CARREFOUR BR,29/12/2020,19.6,2020-12-29,2020,217.72,21.036652699999998,49.35,922.95,412.31839292
CSAN3,COSAN,29/12/2020,77.0,2020-12-29,2020,481.69399,18.74070932,74.83843,1344.84992,1443.03461764
CSNA3,SID NACIONAL,29/12/2020,32.55,2020-12-29,2020,218.16044,13.26093947,74.03545,853.54359,431.6435797485
CVCB3,CVC BRASIL,29/12/2020,19.73,2020-12-29,2020,3.1648,2.7724730899999996,-0.36636,39.17566,54.70089406569999
CYRE3,CYRELA REALT,29/12/2020,29.17,2020-12-29,2020,76.99331,3.99743,6.96204,165.60139,116.60503310000001
ECOR3,ECORODOVIAS,29/12/2020,13.46,2020-12-29,2020,25.1868,6.96334,15.42383,181.08909,93.7265564
EGIE3,ENGIE BRASIL,29/12/2020,44.49,2020-12-29,2020,84.40172,8.1592774,50.73448,381.86752,363.006251526
ELET3,ELETROBRAS,29/12/2020,36.58,2020-12-29,2020,1110.28636,23.01227,53.51028,2702.17462,841.7888366
EMBR3,EMBRAER,29/12/2020,8.63,2020-12-29,2020,147.36781,7.40465,-5.97344,529.18325,63.90212950000001
ENBR3,ENERGIAS BR,29/12/2020,19.83,2020-12-29,2020,118.95759,5.81165,32.03401,370.01192,115.2450195
ENGI11,ENERGISA,29/12/2020,51.37,2020-12-29,2020,124.83752,20.3908654,57.21758,596.70668,1047.478755598
EQTL3,EQUATORIAL,29/12/2020,22.98,2020-12-29,2020,185.6698,11.28934585,52.77213,906.17397,259.429167633
EZTC3,EZTEC,29/12/2020,43.27,2020-12-29,2020,45.38944,2.2098910299999996,1.52726,55.33594,95.62198486809999
FLRY3,FLEURY,29/12/2020,27.31,2020-12-29,2020,27.01085,3.67197096,7.34368,77.9177,100.28152691759999
GGBR4,GERDAU,29/12/2020,24.5,2020-12-29,2020,462.98193,16.7339719,165.99626,737.98652,409.98231155
GNDI3,INTERMEDICA,29/12/2020,79.97,2020-12-29,2020,71.17066,6.15242127,3.97579,174.66021,492.0091289619
GOAU4,GERDAU MET,29/12/2020,11.3,2020-12-29,2020,472.89112,10.33840804,165.37329,747.69525,116.824010852
GOLL4,GOL,29/12/2020,24.48,2020-12-29,2020,-213.58815,32.00516281,5.57114,169.70285,783.4863855888001
HAPV3,HAPVIDA,29/12/2020,15.52,2020-12-29,2020,487.56711,71.44255743000001,-1.55867,732.1373,1108.7884913136002
HGTX3,CIA HERING,29/12/2020,17.54,2020-12-29,2020,17.04935,1.62534,-0.08613,24.57826,28.5084636
HYPE3,HYPERA,29/12/2020,34.7,2020-12-29,2020,106.55441,6.334208230000001,24.5934,237.55633,219.79702558100004
IGTA3,IGUATEMI,29/12/2020,36.86,2020-12-29,2020,30.57189,1.8184331599999999,4.89514,63.12386,67.02744627759999
IRBR3,IRBBRASIL RE,29/12/2020,8.21,2020-12-29,2020,40.73511,0.82263012,-17.95222,229.77562,6.7537932852
ITSA4,ITAUSA,29/12/2020,11.87,2020-12-29,2020,765.35,97.0141,40.9,966.37,1151.5573669999999
ITUB4,ITAUUNIBANCO,29/12/2020,32.1,2020-12-29,2020,1773.43,98.04135,368.61,23234.4,3147.127335
JBSS3,JBS,29/12/2020,24.01,2020-12-29,2020,498.08931,22.1811637,-0.60514,2081.10628,532.5697404370001
KLBN11,KLABIN S/A,29/12/2020,25.58,2020-12-29,2020,115.68266,56.178927560000005,66.47028,475.77358,1437.0569669848
LAME4,LOJAS AMERIC,29/12/2020,26.21,2020-12-29,2020,160.66695,18.85307731,11.26807,437.36188,494.1391562951
LREN3,LOJAS RENNER,29/12/2020,44.13,2020-12-29,2020,100.87515,9.91227,14.07401,211.48892,437.4284751
MGLU3,MAGAZ LUIZA,29/12/2020,25.28,2020-12-29,2020,106.48701,67.48926848,8.07373,377.65845,1706.1287071744002
MRFG3,MARFRIG,29/12/2020,14.72,2020-12-29,2020,264.49609,6.6,97.19529,1361.04323,97.152
MRVE3,MRV,29/12/2020,19.2,2020-12-29,2020,65.74308,4.83233,4.60023,226.01329,92.78073599999999
